Name,Location,Price,Rating,Rating meaning,Distance from the centre (km),Breakfast,Free cancelation
Citadines Barbican London,Islington,409,8.2,Very good,2.6 ,-,-
ME London by Melia,Westminster Borough,1178,8.5,Very good,0.8 ,-,-
TRIBE London Canary Wharf,Tower Hamlets,336,8.4,Very good,7.9 ,-,-
The Waterman's Arms,Tower Hamlets,304,8.6,Fabulous,8.6 ,-,Free cancellation
Park Avenue J Hotel London Hyde Park,Westminster Borough,442,7.3,Good,4 ,-,Free cancellation
55 by Le Mirage,Westminster Borough,418,8.5,Very good,4.5 ,-,-
"The Hoxton, Shepherds Bush",Hammersmith and Fulham,430,8.7,Fabulous,6.7 ,-,Free cancellation
citizenM London Bankside,Southwark,500,8.6,Fabulous,2.1 ,-,Free cancellation
Hampton By Hilton London Docklands,Newham,320,8.3,Very good,11.7 ,Breakfast included,-
Apex City Of London Hotel,City of London,512,8.8,Fabulous,3.4 ,-,-
Haven Hotel,Westminster Borough,332,7.1,Good,3.2 ,-,Free cancellation
"Holiday Inn London - Regent's Park, an IHG Hotel",Westminster Borough,512,7.9,Good,2 ,-,-
"Holiday Inn Express London-Hammersmith, an IHG Hotel",Hammersmith and Fulham,449,8.0,Very good,7.4 ,Breakfast included,Free cancellation
"Holiday Inn Express Southwark, an IHG Hotel",Southwark,605,8.1,Very good,1.8 ,Breakfast included,Free cancellation
DoubleTree By Hilton London Excel,Newham,302,7.9,Good,11.5 ,-,-
Croft Court Hotel,Golders Green,245,8.0,Very good,9.2 ,-,-
Assembly Covent Garden,Westminster Borough,501,7.9,Good,0.3,-,-
Moxy London Excel,Newham,277,8.2,Very good,11.8 ,-,-
ibis London City - Shoreditch,Tower Hamlets,500,7.9,Good,3.9 ,-,Free cancellation
"Maldron Hotel Finsbury Park, London",Islington,429,8.5,Very good,6.4 ,-,Free cancellation
The Coach,Clerkenwell,503,8.2,Very good,2.2 ,-,Free cancellation
198 Studios,Camden,324,8.1,Very good,6.5 ,-,-
"Inhabit, Queen's Gardens",Westminster Borough,528,8.3,Very good,3.8 ,-,-
Hilton London Kensington Hotel,Kensington and Chelsea,425,7.0,Good,6 ,-,-
Gem Langham Court Hotel,Westminster Borough,628,7.1,Good,1.6 ,-,Free cancellation
Royal National Hotel,Camden,390,7.3,Good,1.8 ,-,Free cancellation
DoubleTree By Hilton London Excel,Newham,302,7.9,Good,11.5 ,-,-
Park Grand London Kensington,Kensington and Chelsea,465,7.9,Good,4.7 ,-,-
Croft Court Hotel,Golders Green,245,8.0,Very good,9.2 ,-,-
Ember Locke Kensington,Kensington and Chelsea,496,8.7,Fabulous,4.8 ,-,-
Crane Court by City2Stay,City of London,739,8.4,Very good,1.5 ,-,-
Assembly Covent Garden,Westminster Borough,501,7.9,Good,0.3,-,-
Moxy London Excel,Newham,277,8.2,Very good,11.8 ,-,-
ibis London City - Shoreditch,Tower Hamlets,500,7.9,Good,3.9 ,-,Free cancellation
"Maldron Hotel Finsbury Park, London",Islington,429,8.5,Very good,6.4 ,-,Free cancellation
The Coach,Clerkenwell,503,8.2,Very good,2.2 ,-,Free cancellation
198 Studios,Camden,324,8.1,Very good,6.5 ,-,-
